Freshman Narrowly Prevents Parents Seeing Beer-Filled Room,Harvard,1.png    http://satirev.org/sites/default/files/styles/large/public/field/image/Dorm%20Room.png?itok=SMZi0IVB    http://satirev.org/sites/default/files/styles/large/public/field/image/Dorm%20Room.png?itok=SMZi0IVB,"<p>Jacob P. Rocha ’19 narrowly managed to avoid showing his parents his beer-filled dorm room this Parents Weekend, maintaining their belief that the 18-year-old freshman has yet to ever consume alcohol.</p><p>His parents Jim and Carol Rocha, here for Freshman Parents Weekend, were returning to Harvard Yard with Jacob after dinner at Toscano, when the wide-eyed first-year remembered with a fright that in the common room of his Weld suite were scattered no less than three empty cans of Keystone Light. Thinking quickly, Jacob frantically diverted his parents to take a family photo on the steps of Widener Library. This gave his suitemate Wilson M. Park ’19 enough time to covertly carry those empties out to the hallway bathroom, clearing the common room of all evidence of alcohol use.</p><p>Jim and Carol expressed pleasure at the fact that he seemed to be “settling in well” and “getting his bearings.” His mother noted that his dorm room was surprisingly clean, and his father added that he seemed to be “really putting academics first.”</p><p>“I just hope he’s making friends,” Carol said after a pause. “It doesn’t seem like he or his roommates are drinking at all.” “Which is fine, of course,” she quickly added with a half-hearted smile. “But it’s okay to have a little responsible fun if he wants to!”</p><p>“Most kids start experimenting with drugs and alcohol around this time,” Jim continued. “Jacob’s never been most kids, though, I suppose...”</p><p>At press time, the proud parents have not yet begun making subtle, concerned inquiries into Jacob’s dating life in college so far. When asked what he would say, Jacob responded that he would “definitely not” tell them about the girl he almost made out with at First Chance Dance earlier this semester.</p><p> </p><p>Image Source: The Bouqs Company</p>",Harvard    Freshman    Parents' Weekend
All Female Bowling League Unimpressed by Women’s Strike,U.S.,2.png    http://satirev.org/sites/default/files/styles/large/public/field/image/image%20%286%29.png?itok=W-j5qCV7    http://satirev.org/sites/default/files/styles/large/public/field/image/image%20%286%29.png?itok=W-j5qCV7,"<div>CHATTANOOGA, TN – After discovering today’s International Women’s Day strike, members of the local bowling league Spare Change were reportedly unimpressed by the attention the event garnered.</div><div> </div><div>“I don’t get what all of the fuss is about,” said Gladys Kirkman, league secretary and longtime striker. “We do this every <span data-term=""goog_1033550524"">Wednesday</span> at 9.”</div><div> </div><div>“It’s the only time that didn’t interfere with roller derby,” league chatterbox Cathy Goldberg threw in.</div><div> </div><div>At the league’s most recent meeting, some members expressed frustration with the newfound interest in women’s strikes. “We’re out here every week busting our balls,” exclaimed league president Susan Wilcox. “Where were these people last month, when Cheryl sprained her finger knitting and cost us the quarterfinals of the Sycamore regional bowling tournament?”</div><div> </div><div>Social Chair Patsy Lyons agreed. “These millennial high-rollers need to spare the excuses and stay in their lane,” she declared. “Whenever I invite my niece Hannah to our Secret Santas, she’s always trying to roll.”</div><div> </div><div>Other members were more split. “They’re not bad people, it’s just that their aims are off center,” reasoned Vice President Debbie Baker.</div><div> </div><div>The meeting was about to spin out of control when club linchpin and outreach chair Janet Moscovitz finally spoke up. “Are we off our rails?” she cried. “Here at Spare Change, we should strive to be the pin-nacle of inclusivity. No one gets thrown in the gutter.”</div><div> </div><div>Club treasurer Betty Ferguson praised Janet for always being on the ball. “Not everyone can afford to strike,” she added, “but at Spare Change we pride ourselves on having a flat fee of $6.99 and a free shoe rental policy.”</div><div> </div><div><em>Image Source: Manteca Bulletin</em></div><div><span style=""font-size: 13.008px;""><br/></span></div>",Women's Strike    strike    Bowling
Four Emotional Voids that Scallion Pancakes Will Fill But He Won’t,Region,3.jpeg    http://satirev.org/sites/default/files/styles/large/public/field/image/6b0a83bf2f0de624123dbfbcb607bf064b14871e.jpeg?itok=jcCjSXBI    http://satirev.org/sites/default/files/styles/large/public/field/image/6b0a83bf2f0de624123dbfbcb607bf064b14871e.jpeg?itok=jcCjSXBI,"<p align=""center"" style=""text-align: left;"">Are you stuck in a soulless, poorly defined relationship? Wish you would stop having sex with guys you’re only 60% into just for the temporary feeling of completeness? Here are four emotional voids that scallion pancakes will fill but he won’t:</p><p align=""center"" style=""text-align: left;""> </p><p><strong>1) The ""emotionally detached parent"" void </strong></p><p>After a childhood devoid of any parental love or affection, you have no concept of what a healthy relationship looks like. Let some freshly made scallion pancakes give you the warm, gentle embrace that your stoic father never did — and that Jeff never could.</p><p><strong>2) The ""lack of defining purpose"" void</strong></p><p>You have fleeting interests but no real passions. Your strategy for the last four years has been to choose the path of least resistance. That includes never breaking up with your high school boyfriend, even though you live on opposite ends of the country and both deeply resent each other. Instead of drowning yourself in toxic commitments, drown yourself in sauce! The six layered, chewy-crunchy sauce vehicles you get at the Kong will be the closest thing to a defining purpose you’ve ever experienced. </p><p><strong>3) The ""utter absence of self-love"" void </strong></p><p>Self-flagellating and hypercritical, you rely on attention from a string of emotionally reserved men to feel any semblance of self-worth. Ditch the narcissistic soft boys and go for some flaky and perfectly golden scal pals — at least they won’t insist on explaining all 18 chapters of “Ulysses” to you.</p><p><strong>4) General void </strong></p><p>You’ve been numb for so long that you don’t even know why, and you can’t remember a time when that wasn't the case. Your string of one-night stands is so ineffective that you don’t even know why you bother swiping. Talk to your doctor about signs of clinical depression. Afterward, celebrate finally getting diagnosed with some trusty ol’ scallion pancakes for $5.25 at the Kong. </p><p>If for some reason scallion pancakes don’t work, try take-out sushi and four $10 bottles of rose from C’est Bon. Or changing your prescription! </p><div> </div><div>Image credit: Faith Durand, the Kitchn </div><div> </div>",scallion pancakes    Men    emotional voids    The Kong    oh fuck
"Barron Trump, White House Butler Embark on First of Many Wacky Adventures",U.S.,4.png    http://satirev.org/sites/default/files/styles/large/public/field/image/butler.png?itok=pN_Z6IyR    http://satirev.org/sites/default/files/styles/large/public/field/image/butler.png?itok=pN_Z6IyR,"<p>WASHINGTON – Barron Trump, son of President Donald Trump, and White House butler Reginald Yarmouth teamed up for an exciting adventure today.</p><p>“Master Barron, this is much too risky. When your father hears about this—” said Yarmouth before being cut off by the youngest Trump.</p><p>“Come on Reginald! Don’t you want to see what’s behind that secret door in the Lincoln bedroom? It will only take a couple seconds I swear!”</p><p>“Well alright, if you insist,” said Yarmouth as he carefully placed the serving tray he was holding onto the nearest table, unbuttoned his jacket, and smoothed back his hair. “Shall I be getting the door for you, Master Barron?”</p><p>“No. We’ll get the door—together,” said the boy with an endearing smile. The adventurous couple crossed the threshold, carefully closed the door behind them, and thus entered the long-lost Lincoln Library.</p><p>“My word!” exclaimed Yarmouth. “After all these years I can’t believe I missed it. This is quite a collection!” Spotting a first edition copy of <em>David Copperfield</em>, Yarmouth pulled the book off the shelf. A moment later, the duo heard a strange noise from above.</p><p>“What was that, Reginald?” asked a suddenly nervous Barron.</p><p>“Why I believe it’s…it’s…” stammered Yarmouth as he looked up and saw, barreling down upon them, an enormous bust of the fourteenth President of the United States, Franklin Pierce.</p><p>“It’s a trap! RUN!”</p><p>Yarmouth scooped up the Trump lad, bounded toward the secret door, and—in the nick of time—secured a safe exit. They heard a loud thud from behind the now-closed door.</p><p>“Wow, that was amazing!” screamed an out-of-breath Barron.</p><p>“I say, we’re lucky that bust didn’t <em>pierce</em> right through us!” quipped Yarmouth, and the two shared a laugh. “Come now Master Barron. Off to bed.”</p><p>“Aww, but I want to go on another adventure!” the child whined as Yarmouth escorted him back to his bedroom.</p><p>“My dear boy, don’t despair! This is but the first of many adventures to come!” Yarmouth assured Barron before tucking him into bed and wishing him a very pleasant good night.</p><p><span style=""font-size: 13.008px;""><br/></span></p>",donald trump    Barron Trump    It was the butler
Deans' List,Harvard,5.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/dean.jpg?itok=Pw0om2JZ    http://satirev.org/sites/default/files/styles/large/public/field/image/dean.jpg?itok=Pw0om2JZ,"<div dir=""auto"">
<p dir=""ltr"">Spicy! Harvard has this semester's Deans' List early. Let's see which Deans have made the list it this time...</p>
<p dir=""ltr""> </p>
<p dir=""ltr"">Dean of Freshman Thomas ""Tommy Fresh"" Dingman</p>
<p dir=""ltr"">Dean of Harvard College Rakesh Khurana</p>
<p dir=""ltr"">Dean Thomas</p>
<p dir=""ltr"">James Dean</p>
<p dir=""ltr"">Jimmy Dean Breakfast Sausage</p>
<p dir=""ltr"">Dwayne ""The Dean"" Johnson</p>
<p dir=""ltr"">HUDS Five Dean Chili</p>
<p dir=""ltr"">Robert C. Camp, Dean of Eberly College of Business and Information Technology at The Indiana University of Pennsylvania</p>
<p dir=""ltr"">Aberdeen, Scotland</p>
<p dir=""ltr"">Paula Deen</p>
<p dir=""ltr"">De(a)natured proteins</p>
<p dir=""ltr"">Katniss Everdean</p>
<p dir=""ltr"">Fluoxidean</p>
<p dir=""ltr"">Dean Simmons</p>
<p dir=""ltr"">Dean-Splicing</p>
<p dir=""ltr"">Leonardo DeanCaprio</p>
<p dir=""ltr"">Deances with Wolves</p>
<p dir=""ltr"">Deanonycé and Jay-Dean</p>
<p dir=""ltr"">Dean Martin</p>
<div> </div>
<p dir=""ltr"">And that's it! Tough break for the Faculty Deans. Better luck next time!</p>
</div>",dean    deans' list    list of deans    beans    high honor
Dean Khurana Fractures Foot after Walking Too Many Miles in Another’s Shoes,Harvard,6.jpeg    http://satirev.org/sites/default/files/styles/large/public/field/image/keshfracture.jpeg?itok=r6Xi8rXe    http://satirev.org/sites/default/files/styles/large/public/field/image/keshfracture.jpeg?itok=r6Xi8rXe,"<p>CAMBRIDGE, MA – Earlier today, Dean of Harvard College Rakesh Khurana was rushed to University Health Services and diagnosed with a stress fracture following a 40 mile walk in another’s shoes.</p><p>“This experience has been truly transformative for me,” stated Khurana in a statement following his release from UHS. “I feel so fortunate to be able to share in the diverse experiences of this campus – even the most painful ones! I cherish the opportunity to traverse the world in our community’s shoes and I warmly invite you all to embark on a new many-mile journey with me as soon as I can walk again!”</p><p>Students were dismayed to hear about the Dean’s diagnosis, citing their appreciation for the lengths Dean Khurana has gone for them. “I mean you can just tell Dean Khurana really understands the world from our perspective,” says Dominique Acapulcos ’17.  “That’s why all his school-wide regulations have been so popular!”</p><p>Hospital representatives confirm that this latest medical emergency is the fourth in a string of medical mishaps in the past 2 months. The Dean of Harvard College was previously admitted for temporary blindness following self-reflection, a strained pectoralis major muscle from striking down exclusive social spaces, and chronic migraines from attempting to open his mind to new perspectives.</p><div> </div>",Rakesh Khurana    empathy    shoes    puns    foot injuries are serious business
Tim Cook Comes Out as Rich White Man,U.S.,7.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/Tim-Cook-Tweets-Thank-You-to-All-Senators-Who-Supported-ENDA-398322-2.jpg?itok=0mJP5JiF    http://satirev.org/sites/default/files/styles/large/public/field/image/Tim-Cook-Tweets-Thank-You-to-All-Senators-Who-Supported-ENDA-398322-2.jpg?itok=0mJP5JiF,"<p>AMERICA – In an announcement expected to completely transform the landscape of the tech industry and beyond, Apple CEO Tim Cook has confirmed rumors that he is, in fact, a rich white man. <span style=""line-height: 1.538em;"">Working in a business world plagued by women and minorities, Tim Cook stands out as a beacon of hope for affluent white males everywhere.</span></p><p><span style=""line-height: 1.538em;"">“When I first realized I was a wealthy Caucasian man, I was scared,” wrote Tim Cook in his essay. ""Where do I put all this money? How can I ever convince this country to accept me an intelligent, strong white man?""</span></p><p><span style=""line-height: 1.538em;"">Cook struck a chord with several individuals across the country. Luke Vanderfeller, 26, struggling on his parents’ trust fund, looks to Cook for hope. </span><span style=""line-height: 1.538em;"">“Before Tim Cook’s announcement, I wasn’t sure I could make it in this country as a person without color,” said Vanderfeller, speaking from his Manhattan penthouse. “But now I’m optimistic that one day rich white guys like me will be visible and finally have a voice in this country.”</span></p><p><span style=""line-height: 1.538em;"">At press time, a tearful Tim Cook could be seen falling into the open, loaded arms of Bill Gates and Mark Zuckerberg.</span></p>",Tim Cook    Apple    Comes out
Harvard Ecologist Maps Yard Link Migrations,Harvard,8.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/Yard_Link.jpg?itok=CzXt7dzW    http://satirev.org/sites/default/files/styles/large/public/field/image/Yard_Link.jpg?itok=CzXt7dzW,"<p>On Tuesday, Harvard ecologist Daniel Beterman completed a five-year study mapping the migration patterns of the string fencing in the yard. The study yielded some incredible findings.</p><p>“Using aerial camera technology, we found that the yard links form the shape of a large middle finger that, as the seasons progress, points at different freshman dorms,” said Beterman.</p><p> “Freshmen are often frustrated because the shifts in the link patterns disrupt their walking routes. So, we don’t think this offensive pattern is a random occurrence.”</p><p>Unlike anything ecologists have seen in the wild, the study’s unnatural results surprised many students.</p><p>“I always thought that the yard links were pointless,” said Kane Cole ’16. “I mean, they are there to keep people off the grass, but they are so easy to step over. But now I guess, since they’re a pointing finger, they do have a point.”</p><p>While the middle finger formation is the most common shape, the study also found other link structures such as a veritaffle, a government 1310 exam, and a penis that shrinks as winter gets colder right before primal scream.</p><p> As of now, no one knows exactly why the ropes make theses formations; but ecologists have determined that every formation is meant to poke fun at faculty, students or staff.</p><p>“I guess that’s one serious case of rope burn!” said Beterman, who doesn’t get out much except for when he is mapping the migration patterns of inanimate objects. “We don’t know why the links are so bitter about the school, but that mystery is just one more yard link in the chain.”</p>",Harvard    Harvard Yard    Ecology
Lamont to No Longer Offer Complimentary Checked Bags,Harvard,9.png    http://satirev.org/sites/default/files/styles/large/public/field/image/lamontbagcheck.png?itok=aXbzGUFC    http://satirev.org/sites/default/files/styles/large/public/field/image/lamontbagcheck.png?itok=aXbzGUFC,"<p dir=""ltr"">HARVARD YARD – According to reports from sources close to University Operations, Lamont Library will no longer be offering complimentary checked bags upon departure.</p><p dir=""ltr"">Mirroring a nationwide trend, the once-prestigious library in the Yard's southeast corner has decided to do away with a service that has been taken for granted by many, much to the chagrin of frequent studiers.</p><p dir=""ltr"">“No matter how many late night red-eyes I have to endure in Lamont, I could always count on having my bags checked,” said Kira A. Dunwell '19. “But now I can’t even get my first bag checked for free?”</p><p dir=""ltr"">“I chose Lamont for its service,” said Matthew C. Green '20. “No matter how crowded it was, there always seemed to be legroom. But this – this might be it for me. I'm taking my business to Widener.”</p><p dir=""ltr"">According to a press release by Securitas, this move is designed to “expedite the library process,” but some feel that the price of convenience is lax security.</p><p dir=""ltr"">“It feels as if they’re not concerned for the safety of our reading materials anymore,” Andrew W. Bonnell '18 commented. “I long for the days when they enforced shoe removal to prevent stolen SD Cards,” he added, whistfully.</p><p dir=""ltr"">Sources say that Lamont Cafe, which has long been overcharging for soft drinks and little bags of pretzels, will continue their current service. In addition, patrons who wish to use the lavatory will reportedly still be restricted to alternating floors.</p><p dir=""ltr""><span style=""font-size: 13.008px;""><br/></span></p>",Lamont Library    Lamont    Securitas    Bags    Frequent studier
Hunter S. Thompson Speaks,Opinion,10.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/hunter-s-thompson-speaks.jpg?itok=3vh52SD0    http://satirev.org/sites/default/files/styles/large/public/field/image/hunter-s-thompson-speaks.jpg?itok=3vh52SD0,"<p>As I was walking to breakfast one day with my roomate I tripped over something near one of the house entrances. ""Perverts and communists getting in my way,"" I mumbled, but when I looked down to kick the hobo in the chest, I found instead a young man. It gave me pause, and I looked at him for a while before my roommate told me to hurry the hell along.<br/>
""This boy has been the victim of a conspiracy,"" I responded, to which he replied that he did not give a rat's ass. ""You don't understand, you're not American, this is about America, the red white and blue!"" As I walked off while my roommate started yelling at me in some garbled moon language I decided that I would never let this happen to any Harvard kid ever again. Here is my advice on the matter, take it.<br/>
Alcohol, Weed, Cocaine, Heroin<br/>
Are you above the age of 16? If you do not know what these are you are not trying hard enough. Go on, scoot!<br/>
Mushrooms, LSD<br/>
You roll through life like a coyote<br/>
through the desert plains of hell tearing ass as you sip juma-juma juice from a golden cup. A gigantic car, a roaring piece of the American dream is enveloped around you like a banana yellow metal condom. That is what I see, feel. I'm sweating an enormous amount, toxins erupting from my body and collecting in a pool around the leather seats of the vehicle. Bats pass around me and collapse writhing on the ground, victims of a poisonous aura that is the result of eight days of well whiskey. A star erupts in the distance and my eyes turn to jelly, I go temporarily blind. Moments later I hear the hellbat shriek and realize that I got a police car right behind me. I could chance it, but I'm in Reno and they use helicopters out here. One stop later, I see a mass of blubber and grey walk towards me, and bear my teeth. I lie, he doesn't buy it, I headbutt<br/>
the man, and three hours later the car is at the bottom of a ravine and I'm walking towards a casino with a broken nose.<br/>
Take psychedelics<br/>
on nice days, be positive to avoid a bad trip.<br/>
Ecstacy<br/>
This crap will make you dance like a storm gerbil is stapled to your scrotum. You'll feel cosmic love, a great feeling. Walking down the road, hug the first person you see, first person to exist<br/>
by God's good grace. You'll see a woman and her daughter in the distance, you got your arms out, walking towards. The woman turns out to be blind in one eye and the daughter is a little boy in a leather jacket with ass length black hair. Moments later you see a toothless man selling painted Dunkin' Donuts cups and calling it ""found art.""<br/>
Remember to drink water.<br/>
Speed<br/>
Have you ever felt like your heart is going to explode, a ball of energy? Simultaneous, crunchy, red.red.red.red. So much energy your teeth fall out. If there was a ready supply, this would crush red bull to become Harvard's #1 drug of choice. Proof: you lose your teeth and never sleep.<br/>
Two stones with one bird and eight papers in one night.</p>",
Trump Fans Not Sure How to Handle Civility of Pence Cemetery Speech,U.S.,11.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/Cemetery_Vandalized-Missouri_64411.jpg-2e885_c0-58-2000-1224_s885x516.jpg?itok=sMQ_Q0j6    http://satirev.org/sites/default/files/styles/large/public/field/image/Cemetery_Vandalized-Missouri_64411.jpg-2e885_c0-58-2000-1224_s885x516.jpg?itok=sMQ_Q0j6,"<p>ST. LOUIS, MO – At Vice President Mike Pence's recent speech at a vandalized Jewish cemetery, Trump supporters in the crowd were unsure how to react as Pence said something civil.</p><p>Scattered cheers and chants were heard from the crowd, but uncomfortable silence predominated when Pence started denouncing anti-Semitism.</p><p>“I voted for Trump and Pence, and I’ve been to many of their rallies,” said local resident Sam Jamerson. “It fires me up to hear them trash the dishonest media and crooked politicians. When I heard the Vice President was coming to town, I figured there would be more of that.”</p><p>Jamerson paused and frowned. “This is less my thing, though,” he said, regarding Pence’s speech condemning hatred and violence.</p><p>Other attendees shared Jamerson’s disconcertion. “I brought my ‘Build That Wall’ sign with me today, but it doesn’t really feel appropriate,” said Susan Morse. “Normally, I like to get the people near me chanting ‘Make America Great Again’ or ‘Lock Her Up.’ But when I tried that today, nobody joined in.""</p><p>As it became clear that Pence’s speech was not going to center around his usual themes, the confusion among attendees gave way to disappointment. “Don’t get me wrong, I love this administration,” said Jamerson. “It’s just, when I drove out here today, I was ready to get angry about Obamacare. This love-and-care-for-the-Jewish-community stuff is fine, I guess, but I like the old stuff better.”</p><p>Crowd enthusiasm reached a fever pitch when Pence singled out someone in attendance, but that excitement faded as people realized that Pence was merely welcoming the Missouri governor.  “I thought we were going to get to boo someone, maybe even spit at them,” said Morse. “What a bummer.”</p>",Mike Pence    wait what I expected some outrage    we still want to lock her up though right?
Planet Earth Passes Away After Benevolently Hosting Life for 3.8 Billion Years,World,12.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/earth.jpg?itok=tT2K4_b0    http://satirev.org/sites/default/files/styles/large/public/field/image/earth.jpg?itok=tT2K4_b0,"<div>This past <span data-term=""goog_1189876473"">Friday</span>, it was announced that, following a long battle against humanity, Planet Earth has finally passed away.</div><div> </div><div>Born and raised in the Solar System, the son of the Sun, the Earth was a lifelong fan of nature, National Geographic documentaries, and progressive carbon taxes. Sources close to the Earth say that, in recent years, the Earth felt that it was ""just going in circles,"" and had become resigned to its eventual death.</div><div> </div><div>“We really didn’t see it coming,” said Scott Pruitt, President Trump’s pick to lead the Environmental Protection Agency, despite overwhelming evidence of the environment’s decline in health over the past 150 years. “It’s tragic, but there’s really nothing we could have done,” Pruitt sighed as he shredded a copy of the Paris Agreement and removed the Climate Action Plan from the White House website. “Who would have known that pesticides and greenhouse gases were actually bad for the climate? Crazy, huh? Like, how was I supposed to make that connection?” Pruitt admits that Ernest Moniz, former Secretary of Energy, had warned about the dangers of global warming, but Pruitt had dismissed Moniz as “just another nuclear physicist who doesn’t know what he’s talking about.” Pruitt’s environmental policies were instead guided by Rick Perry, whom Pruitt praised as “someone who really knows his stuff.” </div><div> </div><div>“Our deepest condolences to the polar bears,” said Perry. “They’re probably pretty fucked now.”</div><div> </div><div>The Earth’s death comes after American reinvestment in oil and gas, and the construction of new coal plants across the country. “I mean, I know it’s a dying technology, and produces 39 percent of carbon dioxide emissions, but what else were we supposed to do? Invest in infrastructure for renewable energy, like a bunch of Chinese commies?” Pruitt laughed. “C’mon, we had a four percent unemployment rate! We needed to bring back those coal jobs!”</div><div> </div><div>Earth, which passed into oblivion to a chorus of “AMERICA FIRST!” chants, is survived by its wife of 4.53 billion years, the Moon; seven brothers and sisters, including Mars and Venus; and estranged half-sister, Pluto.</div><div><span style=""font-size: 13.008px;""><br/></span></div>",Earth    EPA    donald trump    Premature death
Annual Meeting of Victors Convene to Write History,World,13.png    http://satirev.org/sites/default/files/styles/large/public/field/image/image_11.png?itok=h3S0LGwk    http://satirev.org/sites/default/files/styles/large/public/field/image/image_11.png?itok=h3S0LGwk,"<div>CLEVELAND, OHIO — Continuing a time-honored tradition that has lasted since the formation of civilization in 4000 BC, millions of Victors from around the world flocked to Cleveland this past week to undertake the annual task of writing history.</div><div> </div><div>""It's a bit of a trip, but I always look forward to the annual convention,"" said Victor Thurgood of Orlando, Florida, who takes a week's vacation from his regular job of dolphin training each year to scribe the latest developments in Middle East politics for eternal posterity. ""I've made some lifelong friends while typing up notes on the Syrian refugee crisis that will become part of the historical canon for generations to come.""</div><div> </div><div>""Plus, the food is great,"" added Victor Chen. Chen, a dental hygienist from Toronto, Canada, is responsible for updating global primary source material on Madonna and ketchup. ""Mm, canapes.""</div><div> </div><div>The convention, in addition to boasting the impressive accomplishment of defining humankind's collective knowledge of the universe since the beginning of time, has had many noteworthy delegates in the past. This year, the event honored one of its most distinguished alumni: Victor Hugo, the famous 19th century novelist whose chronicles of revolutionary France are today popularly referred to as ""that one where the guy steals bread and everyone is sad. Also singing."" Less widely known is the fact that Hugo was a prolific contributor to the annual convention, authoring no fewer than 597 historical facts on succulents.</div><div> </div><div>At press time, several Victors expressed both sorrow and relief that that the event was coming to an end. ""I'll definitely miss the energy of this place,"" said Victor Silva, a licensed tree waterer from Brazil. ""But to be honest, I'm also excited to stop making any more editorial decisions on how the escalating threat of nuclear conflict between American and North Korea will unfold, at least until next year.""</div><div> </div>",Conventions    History    Victors    imagine the icebreakers
Barack Obama Appoints Moses Secretary of State  ,U.S.,14.jpg    http://satirev.org/sites/default/files/styles/large/public/field/image/barack-obama-appoints-moses.jpg?itok=JvMCFkWm    http://satirev.org/sites/default/files/styles/large/public/field/image/barack-obama-appoints-moses.jpg?itok=JvMCFkWm,"<p>Despite frequent criticisms of his<br/>
Middle East policy, President-Elect Barack Obama has taken a brazen step in<br/>
appointing one of the seminal figures in Judaism today to the highest foreign<br/>
policy position in the nation.</p><p>Representatives of the GOP have<br/>
been quick to issue criticism of Obama's decision. Joe Lieberman (ID-CT) spoke<br/>
to reporters earlier this week regarding speculation of Moses' appointment,<br/>
describing him as ""not the Jew to lead us through the 21<sup>st</sup><br/>
century.""</p><p>Senate Minority Leader Mitch McConnell<br/>
(R-KY) stated much more freely upon hearing the news, ""Let's be real;  the only<br/>
reason this man is not an ex-con is because the judicial system was so weak in<br/>
his heyday. He's murdered Egyptians, and that can't be good for our image out<br/>
there, in addition to cursing them with more plagues than I can easily count,<br/>
and we want to reward this man with an international relations post? I don't<br/>
think so, no way.""</p><p>Some of McConnell's Republican<br/>
allies, however, have expressed great enthusiasm at the fledgling president's<br/>
decision, most notably former presidential nominee John McCain (R-AZ). McCain<br/>
told reporters earlier today, ""I don't care what anybody says, this man is a war<br/>
hero, just like me. At least I was only in Hanoy for five years. Can you believe<br/>
he wandered the desert for forty?""</p><p>He furthered the comparison, stating, ""We can't deny his maverick status; he's a uniter, not a<br/>
divider, and he's respected by Muslims and Jews alike. Sure, he's a got a few<br/>
years on him, but I think men our age are actually sharper than the younger<br/>
generation. My only question is, if Barack Obama wanted somebody so much like<br/>
me, why didn't he just get me for the job?"" McCain's former vice presidential<br/>
nominee, too, stated with glee, ""It's great to see real Americans like Joe the<br/>
Plumber and Moses the Prophet getting involved in politics.""</p><p>The reaction from the population as<br/>
a whole also remains mixed. Pro-choicers have described Moses in recent years as<br/>
""'an old windbag who claims to talk to God more often than he talks to his<br/>
mother,' while pro-life groups take his anti-abortion stance with a grain of<br/>
salt, citing his involvement in the Egyptian Tenth Plague Scandal 2700 years<br/>
ago.</p><p>President Elect Obama also<br/>
expressed a degree of ambivalence. ""I respect the man, but we disagree on a good<br/>
number of things, generally stemming from the birth of Jesus Christ onwards. The<br/>
thing is, I like that about him. He brings a different view, which you've got to<br/>
expect with his level of experience. Moses governed the Israelites until he was<br/>
120, and he's arguably the first real legislator in recorded history. He's a<br/>
smart guy and I know we're both approaching our new jobs in a post-partisan<br/>
state of mind.""</p><p>An e-mail sent to Moses was not<br/>
initially returned in time for this article, though his publicist indicated in a<br/>
phone call with SatireV reporters that Moses is ""both honored and humbled to be<br/>
